#{"t_start": 1764313774.8809488, "env_id": "FlappyBird-v0"}
r,l,t
3.9,50,22.254162
9.5,97,22.296078
3.9,50,22.319126
0.9,50,22.338701
6.3,65,22.364668
3.9,50,22.38448
4.8,59,22.405432
4.8,59,22.427976
8.4,86,22.465966
8.4,86,22.498554
13.2,125,22.544667
8.7,89,22.57842
13.1,124,22.624348
3.9,50,22.642357
3.9,50,22.661636
3.9,50,22.680241
8.4,86,22.712827
4.5,56,22.733983
4.4,55,22.755026
8.8,90,22.789587
4.8,59,22.8121
3.9,50,22.830209
8.4,86,22.862731
4.6,57,22.883795
5.0,61,22.906166
8.4,86,22.938905
3.9,50,22.95715
8.4,86,22.989657
10.8,101,23.02714
4.5,56,23.047824
3.9,50,23.068272
6.0,62,23.092148
8.4,86,23.124711
3.9,50,23.144748
8.4,86,23.177355
12.9,122,23.227437
4.0,51,23.246538
6.8,70,23.272791
8.4,86,23.305738
6.1,63,23.328716
2.0,31,23.340563
2.0,31,23.352681
3.9,50,23.370952
8.4,86,23.403963
3.9,50,23.422334
8.4,86,23.455873
2.1,50,23.474273
8.4,86,23.506846
3.9,50,23.525063
4.8,59,23.547443
3.9,50,23.566426
4.2,53,23.586273
6.8,70,23.61209
9.4,96,23.651159
3.9,50,23.670923
10.5,98,23.708143
8.4,86,23.740489
15.3,137,23.791435
3.9,50,23.810542
10.6,99,23.846554
6.4,66,23.871403
22.4,199,23.945611
8.4,86,23.977023
3.9,50,23.997841
4.3,54,24.018977
4.9,60,24.041608
3.9,50,24.060808
12.9,122,24.105878
3.9,50,24.125487
4.8,59,24.147233
3.9,50,24.166545
3.9,50,24.184871
6.0,62,24.209287
8.4,86,24.244468
12.9,122,24.292151
4.3,54,24.395598
8.4,86,24.49155
8.4,86,24.535731
4.4,55,24.563214
3.9,50,24.594095
4.6,57,24.622427
3.9,50,24.647663
3.9,50,24.67167
4.3,54,24.696835
3.9,50,24.722061
3.9,50,24.741534
8.6,88,24.775712
3.9,50,24.795261
12.9,122,24.841523
10.5,98,24.879054
3.9,50,24.897093
3.9,50,24.91717
4.7,58,24.938468
4.7,58,24.960502
3.9,50,24.978334
3.9,50,24.997266
4.6,57,25.018437
3.9,50,25.037563
15.4,138,25.088429
6.1,63,25.112257
4.1,52,25.132861
3.9,50,25.151195
4.6,57,25.176926
3.9,50,25.195683
3.9,50,25.215999
3.9,50,25.235476
8.4,86,25.269091
3.9,50,25.288052
3.9,50,25.308156
3.9,50,25.327137
4.1,52,25.347165
3.9,50,25.366552
8.5,87,25.399621
6.1,63,25.423002
8.4,86,25.455639
3.9,50,25.473911
4.4,55,25.494658
3.9,50,25.512965
32.8,285,25.619561
6.4,66,25.643942
8.4,86,25.676544
8.4,86,25.708524
8.4,86,25.741212
3.9,50,25.759167
4.1,52,25.778621
6.8,70,25.805242
3.9,50,25.823134
3.9,50,25.84259
8.6,88,25.875356
10.8,101,25.91325
3.9,50,25.931922
4.4,55,25.952406
4.1,52,25.971741
4.4,55,25.992403
8.4,86,26.023997
5.0,61,26.047468
4.8,59,26.068789
3.9,50,26.089741
8.4,86,26.122521
3.9,50,26.142071
10.7,100,26.180454
9.4,96,26.218067
8.4,86,26.251286
8.4,86,26.285077
3.9,50,26.303199
8.4,86,26.336344
4.7,58,26.357486
8.4,86,26.389664
6.6,68,26.415136
12.9,122,26.460271
3.9,50,26.47916
3.9,50,26.497346
8.4,86,26.529948
4.7,58,26.554269
3.9,50,26.575466
3.9,50,26.596041
8.4,86,26.628963
8.4,86,26.661912
15.3,137,26.717849
13.3,126,26.765587
6.0,62,26.78918
4.5,56,26.810688
4.7,58,26.831982
8.4,86,26.86578
6.6,68,26.891986
